Rank,Label,Common Name,Kingdom,Phylum,Class,Order,Suborder,Infraorder,Family,Subfamily,Tribe,Genus,Species,Subspecies,URL,IMAGE,THUMB
Species,T. ornatus,Spectacled bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Tremarctinae,,Tremarctos,T. ornatus,,https://en.wikipedia.org/wiki/Spectacled_bear,https://upload.wikimedia.org/wikipedia/commons/a/a7/Urso_de_%C3%B3culos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Urso_de_%C3%B3culos.jpg/220px-Urso_de_%C3%B3culos.jpg
Species,† T. floridanus,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Tremarctinae,,Tremarctos,† T. floridanus,,https://en.wikipedia.org/wiki/Tremarctos_floridanus,https://upload.wikimedia.org/wikipedia/commons/b/b4/Tremarctos_floridanus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Tremarctos_floridanus.jpg/220px-Tremarctos_floridanus.jpg
Genus,Plionarctos,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Tremarctinae,,Plionarctos,,,https://en.wikipedia.org/wiki/Plionarctos,,
Genus,† Arctodus,Short-faced bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Tremarctinae,,† Arctodus,,,https://en.wikipedia.org/wiki/Arctodus,https://upload.wikimedia.org/wikipedia/commons/b/b8/ArctodusSimusSkeleton.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/ArctodusSimusSkeleton.jpg/220px-ArctodusSimusSkeleton.jpg
Genus,† Arctotherium,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Tremarctinae,,† Arctotherium,,,https://en.wikipedia.org/wiki/Arctotherium,https://upload.wikimedia.org/wikipedia/commons/5/53/Arctotherium.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Arctotherium.jpg/220px-Arctotherium.jpg
Subfamily,† Hemicyoninae,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Hemicyoninae,,,,,https://en.wikipedia.org/wiki/Hemicyoninae,https://upload.wikimedia.org/wikipedia/commons/2/2b/Hemicyon_sansaniensis.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Hemicyon_sansaniensis.JPG/220px-Hemicyon_sansaniensis.JPG
Genus,† Cephalogale,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Hemicyoninae,,† Cephalogale,,,https://en.wikipedia.org/wiki/Cephalogale,,
Genus,† Dinocyon,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Hemicyoninae,,† Dinocyon,,,https://en.wikipedia.org/wiki/Dinocyon,https://upload.wikimedia.org/wikipedia/commons/b/b1/The_American_Museum_journal_%28c1900-%281918%29%29_%2818133027966%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_American_Museum_journal_%28c1900-%281918%29%29_%2818133027966%29.jpg/220px-The_American_Museum_journal_%28c1900-%281918%29%29_%2818133027966%29.jpg
Genus,† Hemicyon,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Hemicyoninae,,† Hemicyon,,,https://en.wikipedia.org/wiki/Hemicyon,https://upload.wikimedia.org/wikipedia/commons/2/2b/Hemicyon_sansaniensis.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Hemicyon_sansaniensis.JPG/220px-Hemicyon_sansaniensis.JPG
Genus,† Phoberocyon,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Hemicyoninae,,† Phoberocyon,,,https://en.wikipedia.org/wiki/Phoberocyon,,
Genus,† Phoberogale,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Hemicyoninae,,† Phoberogale,,,https://en.wikipedia.org/wiki/Phoberogale,https://upload.wikimedia.org/wikipedia/commons/1/1e/Phoberogale_shareri.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Phoberogale_shareri.jpg/220px-Phoberogale_shareri.jpg
Genus,† Plithocyon,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Hemicyoninae,,† Plithocyon,,,https://en.wikipedia.org/wiki/Plithocyon,https://upload.wikimedia.org/wikipedia/commons/e/ea/Plithocyon_armagnacensis.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Plithocyon_armagnacensis.JPG/220px-Plithocyon_armagnacensis.JPG
Genus,Ursus,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,Ursus,,,,,
Species,U. arctos,Brown bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,Ursus,U. arctos,,https://en.wikipedia.org/wiki/Brown_bear,https://upload.wikimedia.org/wikipedia/commons/7/71/2010-kodiak-bear-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/2010-kodiak-bear-1.jpg/220px-2010-kodiak-bear-1.jpg
Subspecies,U. a. arctos,Eurasian brown bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,Ursus,U. arctos,U. a. arctos,https://en.wikipedia.org/wiki/Eurasian_brown_bear,https://upload.wikimedia.org/wikipedia/commons/7/7f/European_Brown_Bear.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/European_Brown_Bear.jpg/220px-European_Brown_Bear.jpg
Subspecies,U. a. middendorffi / horribilis,Kodiak bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,Ursus,U. arctos,U. a. middendorffi / horribilis,https://en.wikipedia.org/wiki/Kodiak_bear,https://upload.wikimedia.org/wikipedia/commons/7/79/2010-brown-bear.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/2010-brown-bear.jpg/220px-2010-brown-bear.jpg
Species,U. americanus,American black bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,Ursus,U. americanus,,https://en.wikipedia.org/wiki/American_black_bear,https://upload.wikimedia.org/wikipedia/commons/0/08/01_Schwarzb%C3%A4r.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/01_Schwarzb%C3%A4r.jpg/220px-01_Schwarzb%C3%A4r.jpg
Species,U. maritimus,Polar bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,Ursus,U. maritimus,,https://en.wikipedia.org/wiki/Polar_bear,https://upload.wikimedia.org/wikipedia/commons/0/09/Polar_Bear_-_Alaska.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Polar_Bear_-_Alaska.jpg/220px-Polar_Bear_-_Alaska.jpg
Species,U. thibetanus,Asian black bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,Ursus,U. thibetanus,,https://en.wikipedia.org/wiki/Asian_black_bear,https://upload.wikimedia.org/wikipedia/commons/b/b7/Ursus_thibetanus_3_%28Wroclaw_zoo%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ursus_thibetanus_3_%28Wroclaw_zoo%29.JPG/220px-Ursus_thibetanus_3_%28Wroclaw_zoo%29.JPG
Subfamily,Ursinae,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Ursinae,,,,,https://en.wikipedia.org/wiki/Ursinae,https://upload.wikimedia.org/wikipedia/commons/1/1c/B%C3%A4r_Z%C3%BCri.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/B%C3%A4r_Z%C3%BCri.JPG/220px-B%C3%A4r_Z%C3%BCri.JPG
Genus,Helarctos,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Ursinae,,Helarctos,,,,,
Species,H. malayanus,Sun bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Ursinae,,Helarctos,H. malayanus,,https://en.wikipedia.org/wiki/Sun_bear,https://upload.wikimedia.org/wikipedia/commons/e/eb/Sun-bear.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Sun-bear.jpg/220px-Sun-bear.jpg
Genus,Melursus,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Ursinae,,Melursus,,,,,
Species,M. ursinus,Sloth bear,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,Ursinae,,Melursus,M. ursinus,,https://en.wikipedia.org/wiki/Sloth_bear,https://upload.wikimedia.org/wikipedia/commons/6/6c/Sloth_Bear_Washington_DC.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Sloth_Bear_Washington_DC.JPG/220px-Sloth_Bear_Washington_DC.JPG
Subfamily,† Ursavinae,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Ursavinae,,,,,,,
Tribe,† Ursavini,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Ursavinae,† Ursavini,,,,https://en.wikipedia.org/wiki/Ursavini,,
Genus,† Ursavus,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Ursavinae,† Ursavini,† Ursavus,,,https://en.wikipedia.org/wiki/Ursavus,,
Subfamily,† Agriotheriinae,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Agriotheriinae,,,,,,,
Genus,† Agriotherium,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,† Agriotheriinae,,† Agriotherium,,,https://en.wikipedia.org/wiki/Agriotheriinae,https://upload.wikimedia.org/wikipedia/commons/9/9a/OR39721-S.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/OR39721-S.jpg/220px-OR39721-S.jpg
Tribe,Ailuropodini,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,Ailuropodini,,,,,,
Genus,† Ailurarctos,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,Ailuropodini,† Ailurarctos,,,https://en.wikipedia.org/wiki/Ailurarctos,,
Genus,† Kretzoiarctos,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,† Kretzoiarctos,,,,,
Species,† K. beatrix,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,† Kretzoiarctos,† K. beatrix,,https://en.wikipedia.org/wiki/Kretzoiarctos,https://upload.wikimedia.org/wikipedia/commons/7/71/Kretzoiarctos_beatrix_lower_jaws.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Kretzoiarctos_beatrix_lower_jaws.png/220px-Kretzoiarctos_beatrix_lower_jaws.png
Genus,† Zaragocyon,,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,† Zaragocyon,,,,,
Species,† Z. daamsi,Zaragocyon,Animalia,Chordata,Mammalia,Carnivora,Caniformia,Arctoidea,Ursidae,,,† Zaragocyon,† Z. daamsi,,https://en.wikipedia.org/wiki/Zaragocyon,,
